Nom_de_la_piece;Reference_AP;Angle1;Angle2;percage;longueur;Qty.
Disque de frein – ø180x77mm;Disque de frein – ø180x77mm;;;;;2
Etrier de frein arriere pocket bike;Etrier de frein arriere pocket bike;;;;;2
Cable 1,9mm x 2,5m;Cable 1,9mm x 2,5m;;;;;2
Gaine 6mm x 2,5m;Gaine 6mm x 2,5m;;;;;2
arret de cable;arret de cable;;;;;4
arret de gaine;arret de gaine;;;;;4
